"prov_or_terr","health_region","date","cases","cum_cases","time_since_first"
"Manitoba","Winnipeg",2020-03-12,1,1,0
"Manitoba","Winnipeg",2020-03-13,3,4,1
"Manitoba","Winnipeg",2020-03-15,2,6,3
"Manitoba","Winnipeg",2020-03-16,1,7,4
"Manitoba","Winnipeg",2020-03-17,5,12,5
"Manitoba","Winnipeg",2020-03-18,2,14,6
"Manitoba","Winnipeg",2020-03-21,2,16,9
"Manitoba","Winnipeg",2020-03-23,1,17,11
"Manitoba","Winnipeg",2020-03-24,1,18,12
"Manitoba","Winnipeg",2020-03-25,11,29,13
"Manitoba","Winnipeg",2020-03-26,1,30,14
"Manitoba","Winnipeg",2020-03-27,1,31,15
"Manitoba","Winnipeg",2020-03-28,25,56,16
"Manitoba","Winnipeg",2020-03-29,4,60,17
"Manitoba","Winnipeg",2020-03-30,18,78,18
"Manitoba","Winnipeg",2020-03-31,6,84,19
"Manitoba","Winnipeg",2020-04-01,20,104,20
"Manitoba","Winnipeg",2020-04-02,27,131,21
"Manitoba","Winnipeg",2020-04-03,13,144,22
"Manitoba","Winnipeg",2020-04-04,8,152,23
"Manitoba","Winnipeg",2020-04-05,5,157,24
"Manitoba","Winnipeg",2020-04-06,1,158,25
"Manitoba","Winnipeg",2020-04-07,11,169,26
"Manitoba","Winnipeg",2020-04-08,1,170,27
"Manitoba","Winnipeg",2020-04-09,2,172,28
"Manitoba","Winnipeg",2020-04-10,4,176,29
"Manitoba","Winnipeg",2020-04-11,9,185,30
"Manitoba","Winnipeg",2020-04-13,1,186,32
"Manitoba","Winnipeg",2020-04-15,1,187,34
"Manitoba","Winnipeg",2020-04-16,3,190,35
"Manitoba","Winnipeg",2020-04-18,2,192,37
"Manitoba","Winnipeg",2020-04-20,1,193,39
"Manitoba","Winnipeg",2020-04-21,1,194,40
"Manitoba","Winnipeg",2020-04-22,1,195,41
"Manitoba","Winnipeg",2020-04-23,5,200,42
"Manitoba","Winnipeg",2020-04-25,2,202,44
"Manitoba","Winnipeg",2020-04-26,3,205,45
"Manitoba","Winnipeg",2020-04-27,1,206,46
"Manitoba","Winnipeg",2020-04-30,2,208,49
"Manitoba","Winnipeg",2020-05-01,1,209,50
"Manitoba","Winnipeg",2020-05-10,1,210,59
"Manitoba","Winnipeg",2020-05-18,1,211,67
"Manitoba","Winnipeg",2020-05-22,2,213,71
"Manitoba","Winnipeg",2020-05-28,2,215,77
"Manitoba","Winnipeg",2020-06-05,2,217,85
"Manitoba","Winnipeg",2020-06-12,1,218,92
"Manitoba","Winnipeg",2020-06-13,2,220,93
"Manitoba","Winnipeg",2020-06-14,1,221,94
"Manitoba","Winnipeg",2020-06-17,2,223,97
